F2.1 CAPITAL MARKET YIELDS – GOVERNMENT BONDS,,,,,
Title,Australian Government 10 year bond,Australian Government 3 year bond,Australian Government 5 year bond,Australian Government 10 year bond,Australian Government Indexed Bond
Description,"Yields on Australian government bonds, interpolated, 10 years maturity","Yields on Australian government bonds, interpolated, 3 years maturity","Yields on Australian government bonds, interpolated, 5 years maturity","Yields on Australian government bonds, interpolated, 10 years maturity","Yields on Australian government indexed bonds, interpolated, 10 years maturity"
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly
Type,Original,Original,Original,Original,Original
Units,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum
,,,,,
,,,,,
Source,RBA,RBA,RBA,RBA,RBA
Publication date,3-Oct-25,3-Oct-25,3-Oct-25,3-Oct-25,3-Oct-25
Series ID,FCMYGBAG10,FCMYGBAG3,FCMYGBAG5,FCMYGBAG10,FCMYGBAGI
30-Sep-21,1.282,0.186,0.664,1.282,-0.689
31-Oct-21,1.71,0.587,1.105,1.71,-0.462
30-Nov-21,1.806,0.946,1.376,1.806,-0.353
31-Dec-21,1.609,0.935,1.324,1.609,-0.541
31-Jan-22,1.888,1.148,1.543,1.888,-0.378
28-Feb-22,2.111,1.484,1.813,2.111,-0.173
31-Mar-22,2.5,1.884,2.21,2.5,-0.023
30-Apr-22,3.008,2.534,2.774,3.008,0.49
31-May-22,3.381,2.888,3.091,3.381,0.904
30-Jun-22,3.767,3.291,3.495,3.767,1.342
31-Jul-22,3.429,3.007,3.158,3.429,1.245
31-Aug-22,3.361,3.062,3.149,3.361,1.018
30-Sep-22,3.747,3.405,3.504,3.747,1.531
31-Oct-22,3.919,3.448,3.61,3.919,1.629
30-Nov-22,3.696,3.274,3.421,3.696,1.355
31-Dec-22,3.551,3.188,3.306,3.551,1.13
31-Jan-23,3.604,3.208,3.329,3.604,1.185
28-Feb-23,3.702,3.393,3.465,3.702,1.25
31-Mar-23,3.468,3.122,3.203,3.468,1.146
30-Apr-23,3.343,2.992,3.055,3.343,1.022
31-May-23,3.5,3.199,3.216,3.5,1.155
30-Jun-23,3.916,3.841,3.78,3.916,1.465
31-Jul-23,4.036,3.975,3.909,4.036,1.584
31-Aug-23,4.128,3.836,3.858,4.128,1.662
30-Sep-23,4.211,3.905,3.935,4.211,1.701
31-Oct-23,4.633,4.122,4.235,4.633,2.048
30-Nov-23,4.578,4.186,4.253,4.578,1.979
31-Dec-23,4.187,3.812,3.86,4.187,1.646
31-Jan-24,4.148,3.741,3.8,4.148,1.59
29-Feb-24,4.141,3.711,3.779,4.141,1.639
31-Mar-24,4.045,3.654,3.714,4.045,1.563
30-Apr-24,4.268,3.853,3.917,4.268,1.717
31-May-24,4.325,3.969,4.02,4.325,1.826
30-Jun-24,4.242,3.939,3.976,4.242,1.87
31-Jul-24,4.326,4.033,4.055,4.326,1.897
31-Aug-24,3.976,3.575,3.64,3.976,1.654
30-Sep-24,3.922,3.495,3.559,3.922,1.653
31-Oct-24,4.267,3.805,3.892,4.267,1.931
30-Nov-24,4.544,4.074,4.168,4.544,2.109
